,City,Population(2020),Population(2021)
1,Delhi,30290936,31181377
2,Mumbai,20411274,20667655
3,Kolkata,14850066,14974073
4,Bengaluru,12326532,12764935
5,Chennai,10971108,11235018
6,Hyderabad,10004144,10268653
7,Ahmedabad,8059441,8253226
8,Surat,7184590,7489742
9,Pune,6629347,6807984
10,Jaipur,3909333,4007505
11,Lucknow,s,3764619
12,Kozhikode,3555411,3742198
13,Malappuram,3391277,3608928
14,Thrissur,3068164,3212604
15,Kochi,3082055,3193029
16,Kanpur,3123990,3153425
17,Indore,3016713,3113445
18,Nagpur,2893455,2940487
19,Coimbatore,2786600,2860445
20,Thiruvananthapuram,2584752,2690703
21,Patna,2436447,2481530
22,Bhopal,2389547,2446882
23,Agra,2210246,2261561
24,Vadodara,2189973,2232521
25,Kannur,2166906,2226693
26,Visakhapatnam,2174968,2225906
27,Nashik,2065728,2123018
28,Vijayawada,2039845,2104113
29,Kollam,1851558,1940571
30,Rajkot,1878032,1933522
31,Ludhiana,1856849,1885456
32,Madurai,1734173,1765534
33,Meerut,1696440,1728435
34,Raipur,1642169,1702048
35,Varanasi,1664942,1692509
36,Jamshedpur,1599434,1629621
37,Srinagar,1585774,1622454
38,Aurangabad,1558412,1599927
39,Tiruppur,1496389,1558993
40,Jodhpur,1471900,1509826
41,Ranchi,1439195,1474748
42,Jabalpur,1449787,1471644
43,Asansol,1431260,1453747
44,Kota,1386877,1430870
45,Allahabad,1393723,1415463
46,Gwalior,1378375,1409820
47,Amritsar,1377371,1400311
48,Dhanbad,1331186,1348238
49,Bareilly,1255287,1285964
50,Aligarh,1210554,1244591
51,Mysore,1209836,1234992
52,Moradabad,1197000,1232190
53,Durg-Bhilainagar,1207637,1225129
54,Bhubaneswar,1162886,1194431
55,Tiruchirappalli,1164668,1181912
56,Chandigarh,1148472,1169244
57,Hubli-Dharwad,1116728,1136923
58,Guwahati,1116740,1135065
59,Salem,1102463,1123873
60,Saharanpur,1054102,1094581
61,Jalandhar,1053670,1074383
62,Siliguri,1020303,1056551
63,Solapur,1031037,1041886
64,Warangal,959658,983128
65,Dehradun,918946,943136
66,Guntur,854488,875474
67,Bhiwandi,859435,874032
68,Puducherry,836003,856354
69,Firozabad,821043,845746
70,Cherthala,764135,801264
71,Bikaner,771878,786652
72,Nellore,751034,772941
73,Gorakhpur,758214,766646
74,Amravati,752189,764645
75,Cuttack,742011,751859
76,Muzaffarnagar,716748,742227
77,Kottayam,696061,739212
78,Belgaum,724747,738074
79,Malegaon,715605,731493
80,Kayamkulam,694892,726675
81,Mangalore,713357,724159
82,Bhavnagar,700367,711625
83,Jammu,702085,708612
84,Nanded Waghala,689771,705667
85,Tirupati,679456,704615
86,Gulbarga,673027,687882
87,Durgapur,675384,686568
88,Kurnool,665186,685818
89,Jhansi,642709,653879
90,Jamnagar,644738,650977
91,Erode,634977,647988
92,Bokaro Steel City,633551,642145
93,Raurkela,622636,631310
94,Kolhapur,619358,626791
95,Ajmer,613617,621505
96,Ujjain,607055,617812
97,Patiala,599186,616590
98,Bilaspur,599812,616394
99,Mathura,588334,603301
100,Agartala,575073,595210
101,Imphal,575625,593524
102,Sangli,583629,592117
103,Udaipur,569224,580191
104,Vellore,569048,578956
105,Thoothukkudi,560930,577945
106,Jalgaon,564540,576506
107,Gaya,565253,575652
108,Tirunelveli,565735,574000
109,Panipat,547952,559798
110,Rajahmundry,543729,551828
111,Bellary,520926,533505
112,Hosur,493896,528951
113,Kakinada,514228,522676
114,Davanagere,511843,520856
115,Muzaffarpur,504158,516403
116,Purnia,477567,496830
117,Begusarai,467632,494581
118,Latur,479399,490405
119,Bhagalpur,479101,487027
120,Rohtak,466576,477116
121,Shillong,459698,471627
122,Bhilwara,452209,462780
123,Anantapur,448883,461191
124,Yamunanagar,450564,458452
125,Akola,450707,454548
126,Kadapa,443336,454531
127,Sagar,437354,445204
128,English Bazar,426793,439682
129,Alwar,429275,439292
130,Hardwar,425643,438739
131,Rampur,425966,434784
132,Raniganj,409737,431841
133,Korba,417807,424146
134,Bijapur,413766,423601
135,Barddhaman,414308,422161
136,Baharampur,407130,418806
137,Brahmapur,408412,414652
138,Dhule,409759,414314
139,Karnal,402417,413822
140,Dhulian,393496,411976
141,Ahmadnagar,404238,407870
142,Karimnagar,395334,406466
143,Gandhidham,389587,406268
144,Junagadh,397226,406112
145,Ottappalam,385296,402822
146,Dindigul,385742,396341
147,Bihar Sharif,373322,381995
148,Anand,371559,381049
149,Shimoga,374643,380810
150,Aizawl,369648,378336
151,Shahjahanpur,373738,377401
152,Bathinda,367767,377089
153,Palakkad,367565,376012
154,Santipur,367014,375748
155,Ichalkaranji,366914,372019
156,Tumkur,361148,367995
157,Deoghar,349481,367263
158,Roorkee,353570,366913
159,Maunath Bhanjan,357540,366502
160,Ranipet,355812,366225
161,Parbhani,359015,365127
162,Dewas,355513,363077
163,Hisar,353859,359458
164,Karur,345577,358468
165,Morvi,346436,357227
166,Darbhanga,350958,356165
167,Chandrapur,351869,355979
168,Habra,348366,354124
169,Kanhangad,339695,352501
170,Farrukhabad,344412,350610
171,Satna,343415,350376
172,Khammam,338657,347343
173,Jalna,340662,347062
174,Navsari,338788,345277
175,Thanjavur,336972,342433
176,Haldwani-cum-kathgodam,328798,339887
177,Arrah,329370,337114
178,Nizamabad,333462,336657
179,Kharagpur,326809,330427
180,Hapur,320713,327349
181,Ratlam,316365,321419
